NP_0002A	CHR	6	1106	-	-1	1106	6	-
NP_0004A	CHR	1310	1861	+	2	1310	1861	-
NP_0006A	CHR	1933	3858	+	1	1933	3858	-
NP_0008A	CHR	3961	4830	+	1	3961	4830	-
NP_0010A	CHR	4864	5238	-	-3	5238	4864	-
NP_0012A	CHR	5289	6305	-	-1	6305	5289	-
NP_0014A	CHR	6437	7414	+	2	6437	7414	-
NP_0016A	CHR	7452	8102	+	3	7452	8102	-
NP_0018A	CHR	8106	8744	+	3	8106	8744	-
NP_0020A	CHR	8784	9524	+	3	8784	9524	-
NP_0022A	CHR	9525	9974	-	-1	9974	9525	-
NP_0024A	CHR	10056	10415	+	3	10056	10415	-
NP_0026A	CHR	10403	10753	+	2	10403	10753	-
NP_0028A	CHR	10790	11356	-	-2	11356	10790	-
NP_0030A	CHR	11497	12687	+	1	11497	12687	-
NP_0032A	CHR	12688	13455	-	-3	13455	12688	-
NP_0034A	CHR	13544	13870	+	2	13544	13870	-
NP_0036A	CHR	13872	14303	-	-1	14303	13872	-
NP_0038A	CHR	14372	14908	-	-2	14908	14372	-
NP_0040A	CHR	14974	16449	-	-3	16449	14974	-
NP_0042A	CHR	16562	18856	-	-2	18856	16562	-
NP_0044A	CHR	18907	19326	-	-3	19326	18907	-
NP_0046A	CHR	19448	19627	-	-2	19627	19448	-
NP_0048A	CHR	19733	20146	+	2	19733	20146	-
NP_0050A	CHR	20186	20857	+	2	20186	20857	-
NP_0052A	CHR	20919	21731	+	3	20919	21731	-
NP_0054A	CHR	21724	22536	-	-3	22536	21724	-
NP_0056A	CHR	22737	23171	-	-1	23171	22737	-
NP_0058A	CHR	23247	23489	-	-1	23489	23247	-
NP_0060A	CHR	23556	25034	-	-1	25034	23556	-
NP_0062A	CHR	25106	25519	-	-2	25519	25106	-
NP_0064A	CHR	25516	26430	-	-3	26430	25516	-
NP_0066A	CHR	26480	28222	-	-2	28222	26480	-
NP_0068A	CHR	28298	28840	-	-2	28840	28298	-
NP_0070A	CHR	28984	29949	+	1	28984	29949	-
NP_0072A	CHR	30086	30784	+	2	30086	30784	-
NP_0074A	CHR	30771	31496	+	3	30771	31496	-
NP_0076A	CHR	31534	32904	-	-3	32904	31534	-
NP_0078A	CHR	33032	33484	+	2	33032	33484	-
NP_0080A	CHR	33527	33814	+	2	33527	33814	-
NP_0082A	CHR	33811	34458	-	-3	34458	33811	-
NP_0084A	CHR	34551	35135	-	-1	35135	34551	-
NP_0086A	CHR	35132	35752	-	-2	35752	35132	-
NP_0088A	CHR	35749	35925	-	-3	35925	35749	-
NP_0090A	CHR	36122	39163	+	2	36122	39163	-
NP_0092A	CHR	39190	39801	+	1	39190	39801	-
NP_0094A	CHR	39868	40017	-	-3	40017	39868	-
NP_0096A	CHR	40146	41546	+	3	40146	41546	-
NP_0098A	CHR	41621	42901	+	2	41621	42901	-
NP_0100A	CHR	42888	43544	+	3	42888	43544	-
NP_0102A	CHR	43541	44668	+	2	43541	44668	-
NP_0104A	CHR	44722	46146	+	1	44722	46146	-
NP_0106A	CHR	46208	47011	+	2	46208	47011	-
NP_0108A	CHR	47225	47452	+	2	47225	47452	-
NP_0110A	CHR	47449	49014	+	1	47449	49014	-
NP_0112A	CHR	49016	50848	+	2	49016	50848	-
NP_0114A	CHR	50848	54027	+	1	50848	54027	-
NP_0116A	CHR	54020	56704	+	2	54020	56704	-
NP_0118A	CHR	56711	57136	+	2	56711	57136	-
NP_0120A	CHR	57142	58068	-	-3	58068	57142	-
NP_0122A	CHR	58186	58614	+	1	58186	58614	-
NP_0124A	CHR	58614	59225	+	3	58614	59225	-
NP_0126A	CHR	59299	60636	+	1	59299	60636	-
NP_0128A	CHR	60633	61388	-	-1	61388	60633	-
NP_0130A	CHR	61538	63727	+	2	61538	63727	-
NP_0132A	CHR	63862	66135	+	1	63862	66135	-
NP_0134A	CHR	66192	66542	+	3	66192	66542	-
NP_0136A	CHR	66625	67287	+	1	66625	67287	-
NP_0138A	CHR	67270	68724	-	-3	68724	67270	-
NP_0140A	CHR	68731	69210	-	-3	69210	68731	-
NP_0142A	CHR	69266	70954	-	-2	70954	69266	-
NP_0144A	CHR	70951	72837	-	-3	72837	70951	-
NP_0146A	CHR	72886	73431	-	-3	73431	72886	-
NP_0148A	CHR	73546	74070	-	-3	74070	73546	-
NP_0150A	CHR	74052	74459	-	-1	74459	74052	-
NP_0152A	CHR	74452	75093	-	-3	75093	74452	-
NP_0154A	CHR	75090	75551	-	-1	75551	75090	-
NP_0156A	CHR	75544	76251	-	-3	76251	75544	-
NP_0158A	CHR	76248	78095	-	-1	78095	76248	-
NP_0160A	CHR	78201	80363	-	-1	80363	78201	-
NP_0162A	CHR	80504	81214	+	2	80504	81214	-
NP_0164A	CHR	81268	82902	+	1	81268	82902	-
NP_0166A	CHR	82918	83652	-	-3	83652	82918	-
NP_0168A	CHR	83645	84424	-	-2	84424	83645	-
NP_0170A	CHR	84426	85562	-	-1	85562	84426	-
NP_0172A	CHR	85559	86518	-	-2	86518	85559	-
NP_0174A	CHR	86582	87898	-	-2	87898	86582	-
NP_0176A	CHR	88031	88702	-	-2	88702	88031	-
NP_0178A	CHR	88807	89910	-	-3	89910	88807	-
NP_0180A	CHR	89986	90369	-	-3	90369	89986	-
NP_0182A	CHR	90374	91480	-	-2	91480	90374	-
NP_0184A	CHR	91488	91943	-	-1	91943	91488	-
NP_0186A	CHR	91940	92113	-	-2	92113	91940	-
NP_0188A	CHR	92231	94036	+	2	92231	94036	-
NP_0190A	CHR	94020	94910	-	-1	94910	94020	-
NP_0192A	CHR	94907	96214	-	-2	96214	94907	-
NP_0194A	CHR	96272	97372	-	-2	97372	96272	-
NP_0196A	CHR	97468	97815	+	1	97468	97815	-
NP_0198A	CHR	97816	99669	-	-3	99669	97816	-
NP_0200A	CHR	99766	100512	+	1	99766	100512	-
NP_0202A	CHR	100540	101976	+	1	100540	101976	-
NP_0204A	CHR	101973	103505	-	-1	103505	101973	-
NP_0206A	CHR	103507	104550	-	-3	104550	103507	-
NP_0208A	CHR	104605	105093	-	-3	105093	104605	-
NP_0210A	CHR	105297	107216	+	3	105297	107216	-
NP_0212A	CHR	107218	108570	-	-3	108570	107218	-
NP_0214A	CHR	108682	109137	+	1	108682	109137	-
